id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude,box_type,city_abbr,street,note
4532056,ParcelBox,True,2025-05-02T16:14:41.023,PBOX BNC Pod Stadionem (uhlí),Free,49.367119694,14.391081111,PBOX,BNC,Pod Stadionem,uhlí
4532075,ParcelBox,True,2025-05-04T16:34:31.27,PBOX SCC Strupčice (Knihovna),Free,50.470940805,13.529070805,PBOX,SCC,Strupčice,Knihovna
4532325,ParcelBox,True,2025-05-04T09:34:23.337,PBOX BRC NaValtické (L.A.),Free,48.757026388,16.857615805000002,PBOX,BRC,NaValtické,L.A.
4533248,ParcelBox,True,2025-05-04T15:14:25.763,PBOX PCE Hradecká (MIROS),Free,50.062301388,15.775101111,PBOX,PCE,Hradecká,MIROS
4533703,ParcelBox,True,2025-05-04T14:14:23.697,PBOX FDM Nové Dvory (TTC park),Free,49.679068888,18.369910305,PBOX,FDM,Nové Dvory,TTC park
4533704,ParcelBox,True,2025-05-04T15:54:30.233,PBOX BUL Nádražní (Hruška),Free,49.992176111,17.469850611,PBOX,BUL,Nádražní,Hruška
4533707,ParcelBox,True,2025-05-03T10:54:26.573,PBOX JCN Prachovská (Konzum),Free,50.4424325,15.344072805,PBOX,JCN,Prachovská,Konzum
4533991,ParcelBox,True,2025-05-02T20:14:37.22,PBOX VPI Náměstí (Městys),Free,50.461069388,16.189600805,PBOX,VPI,Náměstí,Městys
4533992,ParcelBox,True,2025-05-02T17:34:37.313,PBOX LNB Zahradní (W-FIT),Free,49.523770305,17.587958305,PBOX,LNB,Zahradní,W-FIT
4533999,ParcelBox,True,2025-05-04T16:54:37.453,PBOX PLE Řetechovská (Městys),Free,49.130182805,17.768682805,PBOX,PLE,Řetechovská,Městys
4534000,ParcelBox,True,2025-05-03T14:54:37.773,PBOX HAA Hošťálková (Obec),Free,49.355062805,17.871325611,PBOX,HAA,Hošťálková,Obec
4534004,ParcelBox,True,2025-05-04T13:14:27.743,PBOX PRG Středohorská (SJM),Free,50.038226888,14.586254694,PBOX,PRG,Středohorská,SJM
4535741,ParcelBox,True,2025-05-04T15:54:30.967,PBOX VSA Osvobození (Knihovna),Free,49.8268525,18.127740805,PBOX,VSA,Osvobození,Knihovna
4535743,ParcelBox,True,2025-04-30T13:34:59.307,PBOX FDM Pionýrů (Carbon),Free,49.680790305,18.339155805,PBOX,FDM,Pionýrů,Carbon
4535751,ParcelBox,True,2025-05-03T17:34:25.113,PBOX LNP Palackého (Konzum),Free,50.528033611,15.376976888,PBOX,LNP,Palackého,Konzum
4535760,ParcelBox,True,2025-05-03T12:34:26.47,PBOX ZUE Purkyňova (COOP),Free,50.090385611,13.163290611,PBOX,ZUE,Purkyňova,COOP
4535769,ParcelBox,True,2025-05-04T16:34:33.543,PBOX PRG Hrozenkovská (Potravin),Free,50.059948611,14.293532,PBOX,PRG,Hrozenkovská,Potravin
4535780,ParcelBox,True,2025-05-04T07:54:25.217,PBOX DKE nám. Míru (AZ marke),Free,49.072941888,16.464705,PBOX,DKE,nám. Míru,AZ marke
4535781,ParcelBox,True,2025-05-02T18:54:55.23,PBOX CBE Dobrovodská (zastávka),Free,48.971783888,14.494481111,PBOX,CBE,Dobrovodská,zastávka
4535782,ParcelBox,True,2025-05-04T10:34:32.38,PBOX CBE České Vrbné (Siko),Free,49.003547805,14.448980305,PBOX,CBE,České Vrbné,Siko
4535863,ParcelBox,True,2025-05-04T14:54:24.663,PBOX PRG Na Harfě (Neptun),Free,50.103065611,14.501924194,PBOX,PRG,Na Harfě,Neptun
4535870,ParcelBox,True,2025-04-26T04:37:31.76,PBOX SOV Alšova (OC),Free,50.174432194,12.672380305,PBOX,SOV,Alšova,OC
4535873,ParcelBox,True,2025-05-01T20:55:08.937,PBOX CHB Dragounská (OBI),Free,50.073034388,12.36842,PBOX,CHB,Dragounská,OBI
4535877,ParcelBox,True,2025-05-04T16:54:37.947,PBOX PRG Brožíkova (Brožíkov),Free,50.071265611,14.388434388,PBOX,PRG,Brožíkova,Brožíkov
4536560,ParcelBox,True,2025-05-04T16:54:38.133,PBOX PBR Štramberská (TJPříbor),Free,49.635175805,18.140115305,PBOX,PBR,Štramberská,TJPříbor
4536564,ParcelBox,True,2025-05-04T15:54:31.517,PBOX DHV Horská cesta (Bar),Free,50.607370805,13.741713611,PBOX,DHV,Horská cesta,Bar
4536565,ParcelBox,True,2025-05-03T11:34:31.903,PBOX TEP Nákladní (Albert),Free,50.645483611,13.822627194,PBOX,TEP,Nákladní,Albert
4536568,ParcelBox,True,2025-05-04T15:54:31.62,PBOX HLE Hradecká (Retail),Free,50.072486388,15.982385,PBOX,HLE,Hradecká,Retail
4536716,ParcelBox,True,2025-05-03T14:54:38.627,PBOX OST Výškovická (OBI),Free,49.798946888,18.230196694,PBOX,OST,Výškovická,OBI
4536723,ParcelBox,True,2025-05-03T15:34:37.78,PBOX OST U Hrůbků (Masáže),Free,49.807726888,18.231566388,PBOX,OST,U Hrůbků,Masáže
