id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude
4454298,AlzaBox,False,2025-04-28T21:20:57.68,ABOX JRY Luční (AZSTINEN),Unknown,50.110584,14.702641
4454301,AlzaBox,False,2025-04-28T21:20:57.82,ABOX KLA nám.J.Masaryka (OD),Unknown,50.139668,14.072554
4454302,AlzaBox,False,2025-04-28T21:20:57.847,ABOX LIE sady Pionýrů (Potravin),Unknown,49.694145,13.256049
4454303,AlzaBox,False,2025-04-28T21:20:57.883,ABOX DJE Jesenická,Unknown,49.97809,14.570219
4454304,AlzaBox,False,2025-04-28T21:20:57.913,ABOX DHE Palackého (Coop),Unknown,49.927486,14.274749
4454305,AlzaBox,False,2025-04-28T21:20:57.957,ABOX CVE Čisovice (Úřad),Unknown,49.863293,14.315409
4454306,AlzaBox,False,2025-04-28T21:20:57.987,ABOX DRS Dřísy (Potravin),Unknown,50.255695,14.643479
4454307,AlzaBox,False,2025-04-28T21:20:58.02,ABOX HUY Baumanova (Walter),Unknown,50.106438,14.741438
4454312,AlzaBox,False,2025-04-28T21:20:58.207,ABOX PRG Železničářů,Unknown,50.107445,14.441621
4454313,AlzaBox,False,2025-04-28T21:20:58.247,ABOX JSE Říčanská (Lékařský),Unknown,49.96911,14.528866
4454315,AlzaBox,False,2025-04-28T21:20:58.293,ABOX DEC Plzeňská (OC Korál),Unknown,50.772865,14.199496
4454318,AlzaBox,False,2025-04-28T21:20:58.427,ABOX TRV Sobotecká (Parkoviš),Unknown,50.585945,15.154406
4454321,AlzaBox,False,2025-04-28T21:20:58.48,ABOX KNE Kunice (Flop),Unknown,49.93649,14.668844
4454324,AlzaBox,False,2025-04-28T21:20:58.593,ABOX NCE Tyršova,Unknown,50.015682,14.22368
4454325,AlzaBox,False,2025-04-28T21:20:58.63,ABOX LNE Obecní (Potravin),Unknown,49.982536,14.760543
4454326,AlzaBox,False,2025-04-28T21:20:58.657,ABOX HBD Strojírenská (Retail),Unknown,49.604626,15.602107
4454327,AlzaBox,False,2025-04-28T21:20:58.693,ABOX PRG Krausova (Pizza),Unknown,50.141006,14.507617
4454328,AlzaBox,False,2025-04-28T21:20:58.73,ABOX CLP Havířská (Market),Unknown,50.695587,14.539229
4454332,AlzaBox,False,2025-04-28T21:20:58.877,ABOX PRG Za Zahradou (Koleje),Unknown,50.08796,14.353055
4454333,AlzaBox,False,2025-04-28T21:20:58.88,ABOX BRN nám. Karla IV. (Coop),Unknown,49.20663,16.69483
4454335,AlzaBox,False,2025-04-28T21:20:58.977,ABOX KRE Ke Dvoru (Parkoviš),Unknown,50.03199,14.668938
4454336,AlzaBox,False,2025-04-28T21:20:59.01,ABOX KNV Nám.J.Seiferta,Unknown,50.247173,14.317177
4454341,AlzaBox,False,2025-04-28T21:20:59.203,ABOX JLV Teplická (Koupališ),Unknown,50.761467,14.106635
4454342,AlzaBox,False,2025-04-28T21:20:59.237,ABOX Slezská Ostrava - Kunčičky (Pošta),Unknown,49.808037,18.295013
4454344,AlzaBox,False,2025-04-28T21:20:59.537,ABOX VLN Hlavní (Norman),Unknown,50.175285,14.557178
4454345,AlzaBox,False,2025-04-28T21:20:59.607,ABOX RCY Černokostelecká (Lékárna),Unknown,49.99945,14.667299
4454346,AlzaBox,False,2025-04-28T21:20:59.633,ABOX HBC nám. Draha (Coop),Unknown,50.136208,14.16425
4454350,AlzaBox,False,2025-04-28T21:20:59.75,ABOX PNL Zákostelní (Úřad),Unknown,49.350986,14.703974
4454356,AlzaBox,False,2025-04-28T21:20:59.987,ABOX NYB B. Egermanna,Unknown,50.76266,14.550627
4454358,AlzaBox,False,2025-04-28T21:21:00.107,ABOX HPE Brněnská (Kaufland),Unknown,48.951534,16.724295
4454360,AlzaBox,False,2025-04-28T21:21:00.227,ABOX HSO Horní Slivno (Úřad),Unknown,50.30407,14.708129
4454362,AlzaBox,False,2025-04-28T21:21:00.297,ABOX CYE Hlavní (úřad),Unknown,50.06123,14.225501
4454364,AlzaBox,False,2025-04-28T21:21:00.37,ABOX KZY Kostelecká (ČS),Unknown,49.99232,14.818992
4454366,AlzaBox,False,2025-04-28T21:21:00.453,ABOX MLB tř.V.Klementa (Bondy),Unknown,50.41974,14.915733
4454368,AlzaBox,False,2025-04-30T16:46:15.187,ABOX VPE Masarykova (Parkoviš),Unknown,49.921658,14.644055
4454370,AlzaBox,False,2025-04-28T21:21:00.59,ABOX OLO tř. Svornosti (ODTimpo),Unknown,49.593155,17.228657
4454371,AlzaBox,False,2025-04-28T21:21:00.617,ABOX JSE Pražská (Na Kocan),Unknown,49.97122,14.541776
4454375,AlzaBox,False,2025-04-28T21:21:01.203,ABOX PSY Na Návsi (Potravin),Unknown,49.936314,14.512636
4473536,AlzaBox,False,2025-04-28T21:21:01.28,ABOX CKY Kojetická (Úřad),Unknown,50.229355,14.531145
4473538,AlzaBox,False,2025-04-28T21:21:01.393,ABOX PRG Novosibřinská,Unknown,50.074097,14.67125
4473540,AlzaBox,False,2025-04-28T21:21:01.46,ABOX LTV Podkrušnohorská,Unknown,50.608246,13.626066999999999
4473541,AlzaBox,False,2025-04-28T21:21:01.497,ABOX SHV Mnichovická (Enapo),Unknown,49.955753,14.748731
4473542,AlzaBox,False,2025-04-28T21:21:01.537,ABOX ZNM Vídeňská tř. (Světla),Unknown,48.84721,16.056648
4473547,AlzaBox,False,2025-04-28T21:21:01.747,ABOX TNS K Lesíku,Unknown,49.838108,14.580811
4473548,AlzaBox,False,2025-04-28T21:21:01.813,ABOX LNV Lipno n.Vltavou (Medical),Unknown,48.638878,14.226073
4473550,AlzaBox,False,2025-04-28T21:21:01.897,ABOX TMA Plzeňská (OC),Unknown,49.81557,13.395125
4473553,AlzaBox,False,2025-04-28T21:21:01.973,ABOX DZY Ke Zvoli (NaHřišti),Unknown,49.962242,14.452397
4473554,AlzaBox,False,2025-04-28T21:21:02.03,ABOX LTS Za Školou,Unknown,50.169174,14.71547
4473557,AlzaBox,False,2025-04-28T21:21:02.133,ABOX TBR nám. F. Křižíka (Fio),Unknown,49.412567,14.66469
4473560,AlzaBox,False,2025-04-28T21:21:02.24,ABOX KLY Palackého (Móda),Unknown,49.397385,13.297198
4473565,AlzaBox,False,2025-04-28T21:21:02.41,ABOX CUD Unhošťská (Žabka),Unknown,50.068565,14.165651
4473566,AlzaBox,False,2025-04-28T21:21:02.44,ABOX TAE Jakubská náves (Úřad),Unknown,50.010887,14.2445
4473567,AlzaBox,False,2025-04-28T21:21:02.48,ABOX STC Statenická (Potravin),Unknown,50.14164,14.318586
4493129,AlzaBox,False,2025-04-28T21:21:02.957,ABOX PRG Josefa Houdka (Retail),Unknown,49.963768,14.363903
4493133,AlzaBox,False,2025-04-28T21:21:03.073,ABOX MIL Dukelská (Potravin),Unknown,50.230385,14.886291
4493136,AlzaBox,False,2025-04-28T21:21:03.197,ABOX LBC Pernštýnská (Potravin),Unknown,50.07552,15.679935
4493138,AlzaBox,False,2025-04-28T21:21:03.267,ABOX BBE Ke Hřišti,Unknown,50.01121,14.718402
4493139,AlzaBox,False,2025-04-28T21:21:03.317,ABOX PRG Hrazanská,Unknown,49.987694,14.445213
4493141,AlzaBox,False,2025-04-28T21:21:03.357,ABOX SJE Tyršova,Unknown,50.105705,14.681647
4493147,AlzaBox,False,2025-04-28T21:21:03.593,ABOX PRG Karlovarská (OMV),Unknown,50.075665,14.313104
4493148,AlzaBox,False,2025-04-28T21:21:03.627,ABOX CRY Nad Jezem,Unknown,49.858234,14.699422
4493149,AlzaBox,False,2025-04-28T21:21:03.667,ABOX MAN Kostelecká (CS POINT),Unknown,50.200607,14.546309
4493150,AlzaBox,False,2025-04-28T21:21:03.827,ABOX BRN Technická,Unknown,49.22495,16.576986
4493152,AlzaBox,False,2025-04-28T21:21:03.87,ABOX KCY Hlavní (Restaura),Unknown,50.202225,14.433773
4493154,AlzaBox,False,2025-04-28T21:21:03.937,ABOX NLS Kralupská (Potravin),Unknown,50.261,14.298842
4493155,AlzaBox,False,2025-04-28T21:21:04,ABOX CRE Nám. 9. května (ZOOshopi),Unknown,50.672604,13.94502
