id2,id,accessPointType,name,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,ID,ulice,cislo,psc,mesto
196,4496220,ParcelBox,PBOX BOC 17.listopadu (HRUŠK646),49.760182805,18.017383888,PBOX,BOC,17.listopadu,HRUŠK646,"""49.760182805,18.017383888"",","17. listopadu 146/27, 743 01 Bílovec-Bílovec 1, Czechia",54,17. listopadu,146/27,74301,Bílovec-Bílovec 1
227,4504861,ParcelBox,PBOX BOC Dukelská (HRUŠK716),49.754516388,18.012150805,PBOX,BOC,Dukelská,HRUŠK716,"""49.754516388,18.012150805"",","Dukelská 232/3, 743 01 Bílovec-Bílovec 1, Czechia",55,Dukelská,232/3,74301,Bílovec-Bílovec 1
339,4540500,ParcelBox,PBOX BOC Opavská (retail),49.757978611,18.000223888,PBOX,BOC,Opavská,retail,"""49.757978611,18.000223888"",","Opavská 1159/57, 743 01 Bílovec-Bílovec 1, Czechia",56,Opavská,1159/57,74301,Bílovec-Bílovec 1
865,4303702,ParcelBox,PBOX BOE Nádražní (LIDL),49.147928888,17.002361388,PBOX,BOE,Nádražní,LIDL,"""49.147928888,17.002361388"",","Nádražní 441, 685 01 Bučovice, Czechia",57,Nádražní,441,68501,Bučovice
216,4504635,ParcelBox,PBOX BOI Okružní (Středisk),50.404879388,14.129053611,PBOX,BOI,Okružní,Středisk,"""50.404879388,14.129053611"",","Okružní 366, 411 18 Budyně nad Ohří, Czechia",58,Okružní,366,41118,Budyně nad Ohří
3621,4719319,ParcelBox,PBOX BON Na Máchovně (Surtep),49.956704388,14.041250805,PBOX,BON,Na Máchovně,Surtep,"""49.956704388,14.041250805"",","Na Máchovně 1610, 266 01 Beroun-Beroun 1, Czechia",59,Na Máchovně,1610,26601,Beroun-Beroun 1
1770,4573409,ParcelBox,PBOX BON OKRUŽNÍ (VEČERKA),49.964533305,14.064238111,PBOX,BON,OKRUŽNÍ,VEČERKA,"""49.964533305,14.064238111"",","Okružní 1481, 266 01 Beroun-Beroun-Město, Czechia",60,Okružní,1481,26601,Beroun-Beroun-Město
970,4328858,ParcelBox,PBOX BON Škroupova (Surtep),49.965649388,14.083602194,PBOX,BON,Škroupova,Surtep,"""49.965649388,14.083602194"",","Škroupova 854, Závodí, 266 01 Beroun-Beroun 1, Czechia",61,Škroupova,854,26601,Beroun-Beroun 1
940,4324575,ParcelBox,PBOX BON Švermova,49.95805,14.051508111,PBOX,BON,Švermova,chybi,"""49.95805,14.051508111"",","Švermova 1368/2, 266 01 Beroun-Beroun-Město, Czechia",62,Švermova,1368/2,26601,Beroun-Beroun-Město
592,4558647,ParcelBox,PBOX BON U Berounky (BUS),49.974083888,14.075450305,PBOX,BON,U Berounky,BUS,"""49.974083888,14.075450305"",","Lidická 669/53, Závodí, 266 01 Beroun-Beroun 1, Czechia",63,Lidická,669/53,26601,Beroun-Beroun 1
