ulice,cislo,psc,mesto
Dr. E. Beneše,642,56002,Česká Třebová-Česká Třebová 2
Litomyšlská,118,56002,Česká Třebová-Česká Třebová 2
Moravská,1908,56002,Česká Třebová-Česká Třebová 2
Trávník,155,56002,Česká Třebová-Česká Třebová 2
Jablunkovská,1206,73701,Český Těšín-Český Těšín 1
Jablunkovská,2041/38,73701,Český Těšín-Český Těšín 1
Karvinská,51,73701,Český Těšín-Český Těšín 1
Polní,1900/54,73701,Český Těšín-Český Těšín 1
Slezská,1483,73701,Český Těšín-Český Těšín 1
Havlíčkova,1842,58301,Chotěboř
Krále Jana,1333,58301,Chotěboř
Průmyslová,1888,58301,Chotěboř
Církvice,8,28533,Církvice
Družstevní,28,25303,Chýně-Hostivice
Hlavní,182,25303,Chýně-Hostivice
Čížová,96,39831,Čížová
Rukavičkářská,871,26301,Dobříš
Hodonínská,1819,69603,Dubňany
Průběžná,192,25261,Dobrovíz-Jeneč
Strojírenská,160,38001,Dačice
Nivy 380,01,38001,Dačice
17. listopadu,381/1,40502,Děčín-Děčín 2
Oblouková,1364/39B,40502,Děčín-Děčín 2
Cihelná,620,40502,Děčín-Děčín 2
Kamenická,642/103,40502,Děčín-Děčín 2
Košická,101,40505,Děčín-Děčín 5
Slovanská,1460/65,40502,Děčín-Děčín 2
Studniční,416,40711,Děčín-Děčín 9
Teplická,761/107,40505,Děčín-Děčín 5
Děčín,,40502,Děčín-Děčín 2
Za Bažantnicí,1504/52,40502,Děčín-Děčín 2
Žerotínova,389/59,40502,Děčín-Děčín 2
Na Návsi,47,25219,Drahelčice-Rudná u Prahy
Krkonošská,612,46861,Desná-Desná v Jizerských horách
Horská cesta,1243,41901,Duchcov
56150,,74722,Dolní Benešov
V Hůrce,489/489,25101,Dobřejovice-Říčany u Prahy
nám. Míru,482/15,66464,Dolní Kounice
Alešova,3083,54401,Dvůr Králové nad Labem-Dvůr Králové nad Labem 1
Čelakovského,2246,54401,Dvůr Králové nad Labem-Dvůr Králové nad Labem 1
Erbenova,2928,54401,Dvůr Králové nad Labem-Dvůr Králové nad Labem 1
Dukovany,268,67556,Dukovany
Dvorská,562,78386,Dlouhá Loučka
Dalečín,49,59241,Dalečín
Čs. tankistů,93,74766,Dolní Lhota
Dolany,58,78316,Dolany
Doloplazy,305,78356,Doloplazy
Kozinova,380,34401,Domažlice-Domažlice 1
Mánesova,569,34401,Domažlice-Domažlice 1
Brodecká,2,78375,Dub nad Moravou
Dukelská,91,51742,Doudleby nad Orlicí
Klemov,359,67911,Doubravice nad Svitavou
nám. Svobody,31,67911,Doubravice nad Svitavou
Nádražní,533,51801,Dobruška
Solnická,1059,51801,Dobruška
Husova,319/319,29441,Dobrovice
Vrchlického,307/4,69183,Drnholec
Dřísy,187,27714,Dřísy
Křičenského,451,53303,Dašice-Dašice v Čechách
Dolní Třebonín,16,38201,Dolní Třebonín
Dlouhá,286/6,41702,Dubí-Dubí u Teplic 2
Sídl. Družba,,41701,Dubí-Dubí u Teplic 1
Ruská,179,41701,Dubí-Dubí u Teplic 1
Zahradní,331/34,41701,Dubí-Dubí u Teplic 1
Osecká,1470/163,41901,Duchcov
Osecká,1317/3,41901,Duchcov
Dubné,214,37384,Dubné
Lázeňská,1514/58,37316,Dobrá Voda u Českých Budějovic
K Pivovaru,302,25206,Davle
Bystřická,37,75114,Dřevohostice
Dolní Rožínka,38,59251,Dolní Rožínka
Pražská,454,25241,Dolní Břežany
17. Listopadu,2262,73801,Frýdek-Místek-Frýdek-Místek 1
Dobrá,1130,73951,Dobrá
Frýdlantská,770,73801,Frýdek-Místek 1
Heydukova,85,73801,Frýdek-Místek-Frýdek-Místek 1
Na Příkopě,3727,73801,Frýdek-Místek-Frýdek-Místek 1
Nádražní - lok.18,,73801,Frýdek-Místek-Frýdek-Místek 1
Nové dvory-Kamenec,3439,73801,Frýdek-Místek-Frýdek-Místek 1
Pionýrů,1758,73801,Frýdek-Místek-Frýdek-Místek 1
Revoluční,533,73801,Frýdek-Místek-Frýdek-Místek 1
Slezská,3505,73801,Frýdek-Místek-Frýdek-Místek 1
Frýdštejn,30,46342,Frýdštejn
Bezručova,317,73911,Frýdlant nad Ostravicí
Fügnerova,1024,46401,Frýdlant-Frýdlant v Čechách
Břet. Bartoše,,74401,Frenštát pod Radhoštěm
Křižíkova,1392,74401,Frenštát pod Radho��těm
Lichnov,487,74275,Lichnov
U Příkopy,1915,74401,Frenštát pod Radhoštěm
Holešovská,166,76316,Fryšták
Májová,355/22,35101,Františkovy Lázně
5. května,8,58282,Golčův Jeníkov
Hošťálková,516,75622,Hošťálková
Tř. 1. máje,492,33012,Horní Bříza
K Aleji,3977,58001,Havlíčkův Brod-Havlíčkův Brod 1
Jihlavská,4240,58001,Havlíčkův Brod-Havlíčkův Brod 1
Kyjovská,1625,58001,Havlíčkův Brod-Havlíčkův Brod 1
Máchova,1154,58001,Havlíčkův Brod-Havlíčkův Brod 1
Žižkova,3329,58001,Havlíčkův Brod 1
Sídl. Pražská,2902,58001,Havlíčkův Brod-Havlíčkův Brod 1
Průmyslová,1907,58001,Havlíčkův Brod-Havlíčkův Brod 1
Horní Branná,262,51236,Horní Branná
Podřipská,22,41185,Horní Beřkovice
1. máje,847,35709,Habartov
Československé armády,811,35709,Habartov
Kosmonautů,438,78365,Hlubočky-Hlubočky 3
J. Seiferta,1482,74801,Hlučín
U Cihelny,230/3,74801,Hlučín
Dobrovolského,488/3,69501,Hodonín-Hodonín 1
Měšťanská,131,69501,Hodonín-Hodonín 1
Svatopluka Čecha,3608/9,69501,Hodonín-Hodonín 1
Velkomoravská,4100/22,69501,Hodonín-Hodonín 1
Hrabišín,65,78804,Hrabišín
Dukelská,150,53374,Horní Jelení
Havlíkova,49/1,43543,Horní Jiřetín
nám. Míru,29,67167,Hrušovany nad Jevišovkou
Halenkovice,246,76363,Halenkovice
A. Dvořáka,1492/10,50002,Hradec Králové-Hradec Králové 2
Bratří Štefanů,994,50003,Hradec Králové-Hradec Kr��lové 3
Gočárova tř.,1754/48a,50002,Hradec Králové-Hradec Králové 2
Jilmová,1923,50008,Hradec Králové-Nový Hradec Králové
K Sokolovně,30,50341,Hradec Králové-Hradec Králové 7
K Zastávce,46/2,50341,Hradec Králové-Hradec Králové 7
Kladská,1088/25A,50003,Hradec Králové-Hradec Králové 3
Krapkova,689/15,50009,Hradec Králové-Hradec Králové 9
Kuklenská,1730/10a,50002,Hradec Králové-Hradec Králové 2
Kutnohorská,226,50004,Hradec Králové-Hradec Králové 4
Lhotecká,191/16A,50009,Hradec Králové-Hradec Králové 9
Machkova,42,50011,Hradec Králové-Hradec Králové 11
Na Občinách,960/4,50009,Hradec Králové-Nový Hradec Králové
Rovná,181,50002,Hradec Králové-Hradec Králové 22
Říčařova,162,50301,Hradec Králové-Hradec Králové 16
Sportovní,636/52,50009,Hradec Králové-Hradec Králové 9
Střelecká,45/2,50002,Hradec Králové-Hradec Králové 2
Na Potoce,691/30,50011,Hradec Králové-Hradec Králové 11
Skupova,1101/4,50003,Hradec Králové-Hradec Králové 3
Zemědělská,880/1,50003,Hradec Králové-Hradec Králové 3
Bří Čapků,951,53401,Holice-Holice v Čechách
Hradecká,1265,53401,Holice-Holice v Čechách
Za Zámkem,161,68725,Hluk
Družstevní,1531,53901,Hlinsko-Hlinsko v Čechách 1
Kavánova,430,53901,Hlinsko-Hlinsko v Čechách 1
Palackého,520,76901,Holešov
Sušilova,339,76901,Holešov
Tovární,0,76901,Holešov
Huslenky,573,75602,Huslenky
Nebušická,709,25262,Horoměřice
Přímá,83,25262,Horoměřice
Na Návsi,11,37001,Homole-České Budějovice 1
Na Holbě,244,78833,Hanušovice
Nádražní,450,75301,Hranice-Hranice 1
Struhlovsko,1217/1217,75301,Hranice-Hranice 1
Studentská,1926,75301,Hranice-Hranice 1
Tř. Československé armády,1033,75301,Hranice-Hranice 1
Horní Němčí,128,68764,Horní Němčí
Hořice na Šumavě,147,38222,Hořice na Šumavě
Podskalí,394,37341,Hluboká nad Vltavou
Potoční,1634/1634,37341,Hluboká nad Vltavou
Horní Bečva,606,75657,Horní Bečva
Na Bahnech,601,37361,Hrdějovice
Holasice,,66461,Holasice-Rajhrad
Masarykova,1503/20a,26801,Hořovice
Pražská,1349/22,26801,Hořovice
Horní Stropnice,47,37335,Horní Stropnice
Husova,307,41752,Hostomice-Hostomice nad Bílinou
Táborová,585,34562,Holýšov
Havlíčkovo nám.,90,39601,Humpolec
Kamarytova,1329,39601,Humpolec
G2Q2+G2 Počaply-Březnice,,,Czechia
693,01,,Hustopeče-Hustopeče u Brna
U Větrolamu,1161/15,69301,Hustopeče-Hustopeče u Brna
Náměstí,38,38226,Horní Planá
Sídl. Míru,295,38226,Horní Planá
Opavská,143,74741,Hradec nad Moravicí
Čelakovského,2122,50801,Hořice-Hořice v Podkrkonoší
Přemyslova,372,50801,Hořice-Hořice v Podkrkonoší
Horní Ředice,122,53375,Horní Ředice
Tř. 1. máje,1901,75301,Hranice-Hranice 1
Zborovská,606,75301,Hranice-Hranice 1
Hrobčice,107,41757,Hrobčice
Karlovarská,37,36233,Hroznětín
Harrachov,,51246,Harrachov-Harrachov v Krkonoších
Nový Svět,705,51246,Harrachov-Harrachov v Krkonoších
Palackého,413,54931,Hronov-Hronov 1
Litovická,1233,25301,Hostivice
Sportovců,14,25301,Hostivice
Těrlická,1280/2a,73535,Horní Suchá
Karlštejnská,150,26718,Hlásná Třebaň-Karlštejn
nám. Republiky,2,35731,Horní Slavkov
Nová,101,35731,Horní Slavkov
Dr. E. Beneše,13,34601,Horšovský Týn
Hutisko-Solanec,734,75662,Hutisko-Solanec
Hrušky,2,68352,Hrušky
Kubátova,155,41722,Háj u Duchcova
U Střediska,271/3,74716,Hať-Hať u Hlučína
Eduarda Světlíka,384,76824,Hulín
Sadová,1008,76824,Hulín
Višňovce,1215,76824,Hulín
U Špýcharu,25064,25064,Hovorčovice-Měšice u Prahy
Hovězí,78,75601,Hovězí
Hněvotín,573,78347,Hněvotín
Antonína Vaška,9,74792,Háj ve Slezsku
Dělnická,1565/24c,73601,Havířov-Havířov 1
Dlouhá tř.,1623/44D,73601,Havířov-Havířov 1
E. F. Buriana,869/4a,73601,Havířov-Havířov 1
Gen. Svobody,20,73601,Havířov-Havířov 1
Hornická,1397/9a,73564,Havířov-Havířov 4
Jarošova,1,73601,Havířov 1
Kollárova,1474/1A,73601,Havířov-Havířov 1
Lidická,886/43,73601,Havířov 1
M. Pujmanové,524/1A,73601,Havířov-Havířov 1
Mládežnická,1575/8,73601,Havířov-Havířov 1
Moravská,516/18,73601,Havířov-Havířov 1
Studentská,1592/9A,73601,Havířov-Havířov 1
Těšínská,1100/50A,73601,Havířov-Havířov 1
Železničářů,1303/8,73601,Havířov-Havířov 1
Železničářů,1529,73601,Havířov-Havířov 1
Loretská,169,34101,Horažďovice
Dragounská,2563/4,35002,Cheb-Cheb 2
Svobody 350,02,35002,Cheb-Cheb 2
Wolkerova,2743/32,35002,Cheb-Cheb 2
U Kult. domu,351,53312,Chvaletice
Klicperova,4873,43003,Chomutov-Chomutov 3
Blatenská,4040,43003,Chomutov-Chomutov 3
Nádražní,593,43003,Chomutov-Chomutov 3
Jiráskova,4170,43003,Chomutov-Chomutov 3
Jiráskova,5959,43003,Chomutov-Chomutov 3
Písečná,5583,43004,Chomutov 4
