id2,id,accessPointType,pickupEnabled,lastChange,name,capacityStatus,latitude,longitude,box_type,city_abbr,street,note,slouceny,address,latlong
806,4298816,ParcelBox,True,"2025-05-04T15:52:43,847",PBOX BNL Krajířské nám (Růže),Free,50.187005805,14.660244194,PBOX,BNL,Krajířské nám,Růže,"""50.187005805,14.660244194"",","Krajířské nám. 1762, 250 01 Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1, Czechia","50.187005805,14.660244194"
400,4543973,ParcelBox,True,"2025-05-03T12:34:35,597",PBOX BNL Zápská (Luki Aut),Free,50.180504388,14.667393888,PBOX,BNL,Zápská,Luki Aut,"""50.180504388,14.667393888"",","Zápská 1543/28, Brandýs nad Labem, 250 01 Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1, Czechia","50.180504388,14.667393888"
1431,4561011,ParcelBox,True,"2025-05-03T18:54:46,273",PBOX BNL Zápy (Tesco),Free,50.176227194,14.671018305,PBOX,BNL,Zápy,Tesco,"""50.176227194,14.671018305"",","Z��pská 275, Brandýs nad Labem, 250 01 Brandýs nad Labem-Stará Boleslav-Brandýs nad Labem-Stará Boleslav 1, Czechia","50.176227194,14.671018305"
163,4493834,ParcelBox,True,"2025-05-03T18:14:19,757",PBOX BNP Masaryk.nám (Náměstí),Free,49.523518111,16.259696111,PBOX,BNP,Masaryk.nám,Náměstí,"""49.523518111,16.259696111"",","Masarykovo nám. 58, 593 01 Bystřice nad Pern��tejnem, Czechia","49.523518111,16.259696111"
714,4270897,ParcelBox,True,"2025-05-04T15:12:29,387",PBOX BNS Obřanská (Fors),Free,49.243483111,16.661741888,PBOX,BNS,Obřanská,Fors,"""49.243483111,16.661741888"",","Obřanská 489, 664 01 Bílovice nad Svitavou, Czechia","49.243483111,16.661741888"
1603,4567991,ParcelBox,True,"2025-05-02T15:35:40,397",PBOX BNV Bánov (SportHal),Free,48.990517194,17.718786111,PBOX,BNV,Bánov,SportHal,"""48.990517194,17.718786111"",","Bánov 507, 687 54 Bánov, Czechia","48.990517194,17.718786111"
196,4496220,ParcelBox,True,"2025-05-04T06:34:12,337",PBOX BOC 17.listopadu (HRUŠK646),Free,49.760182805,18.017383888,PBOX,BOC,17.listopadu,HRUŠK646,"""49.760182805,18.017383888"",","17. listopadu 146/27, 743 01 Bílovec-Bílovec 1, Czechia","49.760182805,18.017383888"
227,4504861,ParcelBox,True,"2025-05-04T15:54:23,907",PBOX BOC Dukelská (HRUŠK716),Free,49.754516388,18.012150805,PBOX,BOC,Dukelská,HRUŠK716,"""49.754516388,18.012150805"",","Dukelská 232/3, 743 01 Bílovec-Bílovec 1, Czechia","49.754516388,18.012150805"
339,4540500,ParcelBox,True,"2025-05-04T13:14:30,017",PBOX BOC Opavská (retail),Free,49.757978611,18.000223888,PBOX,BOC,Opavská,retail,"""49.757978611,18.000223888"",","Opavská 1159/57, 743 01 Bílovec-Bílovec 1, Czechia","49.757978611,18.000223888"
865,4303702,ParcelBox,True,"2025-05-04T15:52:47,373",PBOX BOE Nádražní (LIDL),Free,49.147928888,17.002361388,PBOX,BOE,Nádražní,LIDL,"""49.147928888,17.002361388"",","Nádražní 441, 685 01 Bučovice, Czechia","49.147928888,17.002361388"
